OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN
1,WANES,WA DNR - NE REGION,RED LAKE,UNKNOWN,1997/01/01 00:00:00+00,1997/01/01 00:00:00+00,1150.8925627,1997,UNKNOWN,50132679.5,37331.8932622505
2,WANES,WA DNR - NE REGION,BUCKEYE,UNKNOWN,1987/01/01 00:00:00+00,1987/01/01 00:00:00+00,227.33273899,1987,UNKNOWN,9902574.5,15985.2274111208
3,WANES,WA DNR - NE REGION,STONY PEAK,UNKNOWN,1985/01/01 00:00:00+00,1985/01/01 00:00:00+00,289.5896455,1985,UNKNOWN,12614474.5,15780.7544788298
4,WANES,WA DNR - NE REGION,LIBERTY LAKE,UNKNOWN,1985/01/01 00:00:00+00,1985/01/01 00:00:00+00,855.37991371,1985,UNKNOWN,37260200,38532.7122401374
5,WANES,WA DNR - NE REGION,RAIL CANYON,UNKNOWN,1994/08/01 00:00:00+00,1994/08/01 00:00:00+00,102.0968386,1994,UNKNOWN,4447320.5,7985.87123124942
6,WANES,WA DNR - NE REGION,CORK SCREW,UNKNOWN,1994/08/01 00:00:00+00,1994/08/01 00:00:00+00,185.87267875,1994,UNKNOWN,8096581.5,11092.84839353
7,WANES,WA DNR - NE REGION,OWENS RD,UNKNOWN,1994/08/01 00:00:00+00,1994/08/01 00:00:00+00,127.00405485,1994,UNKNOWN,5532274.5,9024.13264378033
8,WANES,WA DNR - NE REGION,NEWKIRK - OLD TRAIL RD,UNKNOWN,1997/01/01 00:00:00+00,1997/01/01 00:00:00+00,772.41805753,1997,UNKNOWN,33646396,29728.5893173951
9,WANES,WA DNR - NE REGION,RIVERSIDE,UNKNOWN,1994/08/01 00:00:00+00,1994/08/01 00:00:00+00,455.86572383,1994,UNKNOWN,19857431.5,21359.7259983742
10,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,407.72478287,1991,UNKNOWN,17760420.5,25519.9609318938
11,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,235.15460223,1991,UNKNOWN,10243293.5,13718.8566054855
12,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1973/01/01 00:00:00+00,1973/01/01 00:00:00+00,499.72147776,1973,UNKNOWN,21767780.5,19715.3965534394
13,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,100.46829673,1991,UNKNOWN,4376381.5,8645.8060582547
14,WANES,WA DNR - NE REGION,UNKNOWN,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,26.39785582,1991,UNKNOWN,1149886,4055.30474050211
15,WASES,WA DNR - SE REGION,CLEVELAND FIRE,UNKNOWN,1998/07/27 00:00:00+00,1998/07/27 00:00:00+00,18500.4198579,1998,LIGHTNING,805875065.5,143802.55906529
16,WASES,WA DNR - SE REGION,MAJOR CREEK FIRE,UNKNOWN,1999/07/01 00:00:00+00,1999/07/01 00:00:00+00,730.60635447,1999,UNKNOWN,31825085.5,34745.4072301126
17,WASES,WA DNR - SE REGION,EASTON FIRE,UNKNOWN,1999/09/11 00:00:00+00,1999/09/11 00:00:00+00,75.93894012,1999,UNKNOWN,3307887,8346.40643984661
18,WASES,WA DNR - SE REGION,MIDDLE FORK FIRE,UNKNOWN,2000/08/29 00:00:00+00,2000/08/29 00:00:00+00,2.24146902,2000,UNKNOWN,97638,1233.87418311586
19,WASES,WA DNR - SE REGION,WHITES BASIN FIRE,UNKNOWN,2000/07/17 00:00:00+00,2000/07/17 00:00:00+00,122.67797005,2000,UNKNOWN,5343831,14408.7529853834
20,WAOWF,OKAN-WEN NF,BAILEY FIRE,UNKNOWN,2001/08/13 00:00:00+00,2001/08/13 00:00:00+00,3211.96752531,2001,UNKNOWN,139912745.75,85511.1072889559
21,WASES,WA DNR - SE REGION,DRY CREEK FIRE,UNKNOWN,2001/08/01 00:00:00+00,2001/08/01 00:00:00+00,17.14686611,2001,UNKNOWN,746914.5,3467.790279607
22,WANES,WA DNR - NE REGION,GAMBLES MILL FIRE (BREWSTER,UNKNOWN,2001/08/12 00:00:00+00,2001/08/12 00:00:00+00,5516.094728,2001,UNKNOWN,240280125.2285,79565.077700267
23,WASES,WA DNR - SE REGION,HIGHLAND FLATS FIRE,UNKNOWN,2001/08/01 00:00:00+00,2001/08/01 00:00:00+00,128.72576743,2001,UNKNOWN,5607272,15603.2062509586
