MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20201027,WA,40.08,59.92,32.15,12.75,4.58,0.00,2020-10-27,2020-11-02,1
20201020,WA,38.42,61.58,32.48,12.79,4.58,0.00,2020-10-20,2020-10-26,1
20201013,WA,37.28,62.72,43.56,17.10,6.12,0.00,2020-10-13,2020-10-19,1
20201006,WA,37.28,62.72,43.56,17.10,6.12,0.00,2020-10-06,2020-10-12,1
20200929,WA,37.23,62.77,43.53,17.03,6.12,0.00,2020-09-29,2020-10-05,1
20200922,WA,2.98,97.02,42.51,17.03,6.12,0.00,2020-09-22,2020-09-28,1
20200915,WA,2.98,97.02,33.10,14.54,0.00,0.00,2020-09-15,2020-09-21,1
20200908,WA,38.85,61.15,25.86,14.42,0.00,0.00,2020-09-08,2020-09-14,1
20200901,WA,47.05,52.95,25.51,14.42,0.00,0.00,2020-09-01,2020-09-07,1
20200825,WA,61.35,38.65,25.51,14.23,0.00,0.00,2020-08-25,2020-08-31,1
20200818,WA,61.35,38.65,25.50,14.23,0.00,0.00,2020-08-18,2020-08-24,1
20200811,WA,61.42,38.58,25.50,14.23,0.00,0.00,2020-08-11,2020-08-17,1
20200804,WA,61.42,38.58,25.52,14.23,0.00,0.00,2020-08-04,2020-08-10,1
20200728,WA,61.42,38.58,25.52,14.23,0.00,0.00,2020-07-28,2020-08-03,1
20200721,WA,61.42,38.58,25.52,14.23,0.00,0.00,2020-07-21,2020-07-27,1
20200714,WA,61.42,38.58,25.52,14.23,0.00,0.00,2020-07-14,2020-07-20,1
20200707,WA,61.42,38.58,25.52,14.23,0.00,0.00,2020-07-07,2020-07-13,1
20200630,WA,61.42,38.58,25.52,14.90,0.00,0.00,2020-06-30,2020-07-06,1
20200623,WA,58.72,41.28,26.68,14.90,0.00,0.00,2020-06-23,2020-06-29,1
20200616,WA,58.72,41.28,26.68,14.90,0.00,0.00,2020-06-16,2020-06-22,1
20200609,WA,58.72,41.28,26.68,15.76,0.00,0.00,2020-06-09,2020-06-15,1
20200602,WA,50.01,49.99,29.26,16.86,0.00,0.00,2020-06-02,2020-06-08,1
20200526,WA,39.80,60.20,31.64,16.86,0.00,0.00,2020-05-26,2020-06-01,1
20200519,WA,33.37,66.63,32.54,17.73,0.00,0.00,2020-05-19,2020-05-25,1
20200512,WA,24.67,75.33,32.54,17.73,0.00,0.00,2020-05-12,2020-05-18,1
20200505,WA,26.31,73.69,32.53,17.55,0.00,0.00,2020-05-05,2020-05-11,1
20200428,WA,26.31,73.69,30.13,13.39,0.00,0.00,2020-04-28,2020-05-04,1
20200421,WA,20.46,79.54,30.12,12.32,0.00,0.00,2020-04-21,2020-04-27,1
20200414,WA,29.69,70.31,28.04,12.32,0.00,0.00,2020-04-14,2020-04-20,1
20200407,WA,60.11,39.89,22.68,5.16,0.00,0.00,2020-04-07,2020-04-13,1
20200331,WA,60.11,39.89,22.68,5.16,0.00,0.00,2020-03-31,2020-04-06,1
20200324,WA,60.11,39.89,22.68,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,WA,60.12,39.88,22.68,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,WA,60.12,39.88,22.68,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,WA,60.12,39.88,19.49,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,WA,60.12,39.88,19.49,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,WA,60.05,39.95,19.49,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,WA,58.50,41.50,19.48,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,WA,53.85,46.15,24.81,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,WA,48.50,51.50,27.86,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,WA,36.07,63.93,33.24,0.00,0.00,0.00,2020-01-21,2020-01-27,1
20200114,WA,37.59,62.41,16.49,0.00,0.00,0.00,2020-01-14,2020-01-20,1
20200107,WA,17.91,82.09,19.52,0.00,0.00,0.00,2020-01-07,2020-01-13,1
20191231,WA,16.60,83.40,31.91,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,WA,16.60,83.40,31.91,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,WA,12.81,87.19,31.91,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,WA,21.90,78.10,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,WA,32.11,67.89,0.00,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,WA,69.83,30.17,0.00,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,WA,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,WA,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-12,2019-11-18,1
20191105,WA,99.72,0.28,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,WA,99.72,0.28,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,WA,97.85,2.15,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,WA,82.65,17.35,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,WA,82.65,17.35,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,WA,81.78,18.22,1.41,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,WA,47.59,52.41,7.59,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,WA,36.37,63.63,31.64,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,WA,19.74,80.26,50.30,5.03,0.00,0.00,2019-09-10,2019-09-16,1
20190903,WA,19.74,80.26,57.51,13.58,0.00,0.00,2019-09-03,2019-09-09,1
20190827,WA,19.74,80.26,57.51,13.58,0.00,0.00,2019-08-27,2019-09-02,1
20190820,WA,19.74,80.26,57.51,13.58,0.00,0.00,2019-08-20,2019-08-26,1
20190813,WA,19.74,80.26,57.51,13.58,0.00,0.00,2019-08-13,2019-08-19,1
20190806,WA,6.88,93.12,60.87,13.58,0.00,0.00,2019-08-06,2019-08-12,1
20190730,WA,13.73,86.27,60.87,13.58,0.00,0.00,2019-07-30,2019-08-05,1
20190723,WA,13.73,86.27,60.87,13.58,0.00,0.00,2019-07-23,2019-07-29,1
20190716,WA,13.83,86.17,60.87,18.07,0.00,0.00,2019-07-16,2019-07-22,1
20190709,WA,13.83,86.17,55.11,18.07,0.00,0.00,2019-07-09,2019-07-15,1
20190702,WA,21.79,78.21,54.84,17.68,0.00,0.00,2019-07-02,2019-07-08,1
20190625,WA,27.85,72.15,54.84,17.68,0.00,0.00,2019-06-25,2019-07-01,1
20190618,WA,27.85,72.15,54.84,15.93,0.00,0.00,2019-06-18,2019-06-24,1
20190611,WA,29.18,70.82,44.24,11.07,0.00,0.00,2019-06-11,2019-06-17,1
20190604,WA,29.18,70.82,44.20,11.07,0.00,0.00,2019-06-04,2019-06-10,1
20190528,WA,29.18,70.82,43.49,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,WA,29.18,70.82,42.59,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,WA,29.18,70.82,34.30,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,WA,29.18,70.82,20.36,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,WA,31.47,68.53,10.41,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,WA,31.47,68.53,10.41,0.00,0.00,0.00,2019-04-23,2019-04-29,1
