,OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN,centroid,nearestStation,start,end,maxTmp,minTmp,avgTmp,avgPrec,avgHdd,avgCdd
17,18,WASES,WA DNR - SE REGION,MIDDLE FORK FIRE,UNKNOWN,2.24146902,2000,UNKNOWN,97638.0,1233.87418311586,POINT (-121.582881058829 45.85272777566913),"(-121.8555, 46.5492)",2000-08-29,2000-08-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
18,19,WASES,WA DNR - SE REGION,WHITES BASIN FIRE,UNKNOWN,122.67797005,2000,UNKNOWN,5343831.0,14408.7529853834,POINT (-121.1238789788228 46.51381796328182),"(-121.67333064, 46.602330924)",2000-07-17,2000-07-17 00:00:00,423143.0,286592.0,354867.5,1082.6399999999912,105184.0,4287.0
19,20,WAOWF,OKAN-WEN NF,BAILEY FIRE,UNKNOWN,3211.96752531,2001,UNKNOWN,139912745.75,85511.1072889559,POINT (-119.0929551471212 48.49528256776179),"(-121.067222, 48.732778)",2001-08-13,2001-08-13 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
20,21,WASES,WA DNR - SE REGION,DRY CREEK FIRE,UNKNOWN,17.14686611,2001,UNKNOWN,746914.5,3467.790279607,POINT (-120.8655410940579 46.92436415829003),"(-121.333333, 47.283333)",2001-08-01,2001-08-01 00:00:00,282883.0,210049.0,246466.0,1265.779999999993,131413.0,1612.0
21,22,WANES,WA DNR - NE REGION,GAMBLES MILL FIRE (BREWSTER,UNKNOWN,5516.094728,2001,UNKNOWN,240280125.2285,79565.07770026701,POINT (-119.8421774874937 48.19773284388081),"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
22,23,WASES,WA DNR - SE REGION,HIGHLAND FLATS FIRE,UNKNOWN,128.72576743,2001,UNKNOWN,5607272.0,15603.206250958601,POINT (-119.9647451375057 47.94570082753716),"(-121.067222, 48.732778)",2001-08-01,2001-08-01 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
23,24,WANES,WA DNR - NE REGION,INDIAN DAN FIRE (BREWSTER COMPLEX),333,584.61616996,2001,UNKNOWN,25465778.5,23112.9043613485,POINT (-119.8428515017137 48.10935604685705),"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
24,25,WAOWF,OKAN-WEN NF,LIBBY SOUTH FIRE,UNKNOWN,3789.27302155,2001,UNKNOWN,165060072.576589,75715.3340154696,POINT (-120.159263620525 48.22072231866496),"(-121.067222, 48.732778)",2001-07-09,2001-07-09 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
25,26,WAOWF,OKAN-WEN NF,REX CREEK FIRE,UNKNOWN,44581.48303191,2001,UNKNOWN,1941961633.0,472970.53099302,POINT (-120.4816187746664 48.17140023435186),"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
26,27,WAGPF,GIFFORD PINCHOT NF,SALT CREEK FIRE (SALT CREEK COMPLEX),090,312.56508176,2001,UNKNOWN,13615280.5,31030.2070535688,POINT (-121.5500611479609 46.16055084056492),"(-121.67333064, 46.602330924)",2001-09-15,2001-09-15 00:00:00,423143.0,286592.0,354867.5,1082.6399999999912,105184.0,4287.0
27,28,WANES,WA DNR - NE REGION,PINGSTON,271,126.1982665,2007,UNKNOWN,5497174.5,12280.9296169835,POINT (-118.0801227753659 48.65602750236901),"(-121.067222, 48.732778)",2007-07-28,2007-07-28 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
28,29,WACOA,COLVILLE AGENCY,ABRAHAM CANYON,166,372.33179875,2008,UNKNOWN,16218708.27853,21459.9279836214,POINT (-118.2860468871047 48.38508329190432),"(-121.067222, 48.732778)",2008-07-10,2008-07-13 00:00:00,108110.75,78443.75,93277.25,309.794999999996,31097.75,1732.75
29,30,WASES,WA DNR - SE REGION,SPRUCE DOME COMPLEX,UNKNOWN,2722.11064738,2001,UNKNOWN,118574665.5,114102.01843230701,POINT (-121.0929474150332 46.57601637354904),"(-121.67333064, 46.602330924)",2001-08-16,2001-08-16 00:00:00,423143.0,286592.0,354867.5,1082.6399999999912,105184.0,4287.0
30,31,WACOA,COLVILLE AGENCY,ST. MARY'S FIRE (VIRGINIA LAKE COMPLEX),132,32978.7297895,2001,UNKNOWN,1436547723.4225,335745.224620086,POINT (-119.3429383370038 48.30905236777243),"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
31,32,WAOWF,OKAN-WEN NF,TOMMY CREEK FIRE,709,647.1737262,2001,UNKNOWN,28190774.75,41293.4413991273,POINT (-120.5673855033129 47.94252530392585),"(-121.067222, 48.732778)",2001-09-16,2001-09-16 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
32,33,WASES,WA DNR - SE REGION,TOUCHET ROAD,UNKNOWN,258.25443063,2001,UNKNOWN,11249518.0,16295.7707818378,POINT (-117.9397238120505 46.24459700986049),"(-121.333333, 47.283333)",2001-08-01,2001-08-01 00:00:00,282883.0,210049.0,246466.0,1265.779999999993,131413.0,1612.0
33,34,WASES,WA DNR - SE REGION,UNION VALLEY FIRE,366,4523.3080209,2001,UNKNOWN,197034509.25,95576.3877567014,POINT (-119.9658571113857 47.89920930801041),"(-121.067222, 48.732778)",2001-07-27,2001-07-27 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
34,35,WASPD,SPOKANE BLM,DEER MOUNTAIN FIRE,UNKNOWN,2280.88454823,2002,UNKNOWN,99354933.5,52617.8213420216,POINT (-119.9752430085595 47.85948674451537),"(-121.067222, 48.732778)",2002-08-16,2002-08-16 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
35,36,WAOWF,OKAN-WEN NF,DEER POINT FIRE,UNKNOWN,20993.93033698,2002,UNKNOWN,914491947.5,236870.867922614,POINT (-120.2018375607562 47.99774436543387),"(-121.067222, 48.732778)",2002-07-15,2002-07-15 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
36,37,WASES ,WA DNR - SE REGION,EWE NECK FIRE,UNKNOWN,75.9503038,2002,UNKNOWN,3308382.0,10674.3134605298,POINT (-121.1546492108153 46.55066387981451),"(-121.67333064, 46.602330924)",2002-08-01,2002-08-01 00:00:00,423143.0,286592.0,354867.5,1082.6399999999912,105184.0,4287.0
37,38,WANES,WA DNR - NE REGION,BLACK CANYON FIRE,310,2281.36471544,2003,UNKNOWN,99375849.5,67625.63388186021,POINT (-117.6787665218986 48.88173871399654),"(-121.067222, 48.732778)",2003-08-10,2003-08-10 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
38,39,WANES,WA DNR - NE REGION,BULLDOG FIRE,403,411.58409583,2003,UNKNOWN,17928531.5,28466.9253839119,POINT (-117.6885994825707 48.18183032655489),"(-121.067222, 48.732778)",2003-09-05,2003-09-05 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
39,40,WAOWF,OKAN-WEN NF,FAREWELL FIRE (FAWN PEAK COMPLEX),UNKNOWN,81233.40724807,2003,UNKNOWN,3538513065.631,430202.40844780504,POINT (-120.1632347839637 48.83687645208991),"(-121.067222, 48.732778)",2003-06-30,2003-06-30 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
40,41,WAOWF,OKAN-WEN NF,FAWN PEAK FIRE (FAWN PEAK COMPLEX),199,74.02080802,2003,UNKNOWN,3224333.5,8643.145008343761,POINT (-120.3280790293868 48.62277061826579),"(-121.067222, 48.732778)",2003-06-30,2003-06-30 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
41,42,WAMSF,MT. BAKER-SNOQ NF,GOLD HILL FIRE (NORTH ZONE COMPLEX),147,169.78598676,2003,UNKNOWN,7395848.0,16111.633654638601,POINT (-121.4959517254315 48.19793411934749),"(-121.7395, 47.8681)",2003-08-07,2003-08-07 00:00:00,439762.0,305583.0,372672.5,1332.7999999999845,94175.0,3563.0
42,43,WAOWF,OKAN-WEN NF,MAPLE,467,1626.25142006,2003,UNKNOWN,70839228.5,85591.9350915302,POINT (-120.8445167424359 48.01378787589648),"(-121.067222, 48.732778)",2003-09-06,2003-09-06 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
43,44,WACOA,COLVILLE AGENCY,MCGINNIS FLAT,097,2255.85284801,2003,UNKNOWN,98264557.0,49410.0006225948,POINT (-118.7240736477697 48.10037516039407),"(-121.067222, 48.732778)",2003-07-18,2003-07-18 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
44,45,WAOWF,OKAN-WEN NF,NEEDLES FIRE,398,19328.21003774,2003,UNKNOWN,841933461.5,285480.36519486597,POINT (-120.6083092324221 48.6457739313545),"(-121.067222, 48.732778)",2003-09-03,2003-09-03 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
45,46,WAMRP,MOUNT RAINIER NP,PANTHER FIRE (MOUNT RAINIER COMPLEX),168,43.95596095,2003,UNKNOWN,1914714.0,6367.03544373455,POINT (-121.5466434430024 46.77703543843384),"(-121.670163986, 46.836329988)",2003-08-21,2003-08-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
