,OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN,nearestStation,start,end,max_temperature,min_temperature,avg_temperature,departure_temperature,hdd,cdd,percipitation
18,19,WASES,WA DNR - SE REGION,WHITES BASIN FIRE,UNKNOWN,122.67797005,2000,UNKNOWN,5343831.0,14408.7529853834,"(-121.67333064, 46.602330924)",2000-07-17,2000-07-17 00:00:00,85.0,52.0,68.5,68.5,0.0,4.0,0.0
19,20,WAOWF,OKAN-WEN NF,BAILEY FIRE,UNKNOWN,3211.96752531,2001,UNKNOWN,139912745.75,85511.1072889559,"(-121.067222, 48.732778)",2001-08-13,2001-08-13 00:00:00,95.0,62.0,78.5,78.5,0.0,14.0,0.0
20,21,WASES,WA DNR - SE REGION,DRY CREEK FIRE,UNKNOWN,17.14686611,2001,UNKNOWN,746914.5,3467.790279607,"(-121.333333, 47.283333)",2001-08-01,2001-08-01 00:00:00,62.0,44.0,53.0,53.0,12.0,0.0,0.0
21,22,WANES,WA DNR - NE REGION,GAMBLES MILL FIRE (BREWSTER,UNKNOWN,5516.094728,2001,UNKNOWN,240280125.2285,79565.07770026701,"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,91.0,60.0,75.5,75.5,0.0,11.0,0.0
22,23,WASES,WA DNR - SE REGION,HIGHLAND FLATS FIRE,UNKNOWN,128.72576743,2001,UNKNOWN,5607272.0,15603.206250958601,"(-121.067222, 48.732778)",2001-08-01,2001-08-01 00:00:00,71.0,52.0,61.5,61.5,3.0,0.0,0.0
23,24,WANES,WA DNR - NE REGION,INDIAN DAN FIRE (BREWSTER COMPLEX),333,584.61616996,2001,UNKNOWN,25465778.5,23112.9043613485,"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,91.0,60.0,75.5,75.5,0.0,11.0,0.0
24,25,WAOWF,OKAN-WEN NF,LIBBY SOUTH FIRE,UNKNOWN,3789.27302155,2001,UNKNOWN,165060072.576589,75715.3340154696,"(-121.067222, 48.732778)",2001-07-09,2001-07-09 00:00:00,84.0,54.0,69.0,69.0,0.0,4.0,0.0
25,26,WAOWF,OKAN-WEN NF,REX CREEK FIRE,UNKNOWN,44581.48303191,2001,UNKNOWN,1941961633.0,472970.53099302,"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,91.0,60.0,75.5,75.5,0.0,11.0,0.0
26,27,WAGPF,GIFFORD PINCHOT NF,SALT CREEK FIRE (SALT CREEK COMPLEX),090,312.56508176,2001,UNKNOWN,13615280.5,31030.2070535688,"(-121.67333064, 46.602330924)",2001-09-15,2001-09-15 00:00:00,79.0,52.0,65.5,65.5,0.0,1.0,0.0
27,28,WANES,WA DNR - NE REGION,PINGSTON,271,126.1982665,2007,UNKNOWN,5497174.5,12280.9296169835,"(-121.067222, 48.732778)",2007-07-28,2007-07-28 00:00:00,83.0,55.0,69.0,69.0,0.0,4.0,0.0
