UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
,,Red Lake,1997-01-01,1150.89256744,,Airway Heights,Spokane County
,,Buckeye,1987-01-01,227.33273803,,Mead,Spokane County
,,Stony Peak,1985-01-01,289.58964622,,Deer Park,Spokane County
,,Liberty Lake,1985-01-01,855.37990638,,Liberty Lake,Spokane County
,,Rail Canyon,1994-01-01,102.09684049,,Deer Park,Spokane County
,,Cork Screw,1994-01-01,185.87267505,,Fairchild Air Force Base,Spokane County
,,Owens Rd,1994-01-01,127.00405221,,Deer Park,Spokane County
,,Newkirk - Old Trail Rd,1997-01-01,772.41805331,,Town and Country,Spokane County
,,Riverside,1994-01-01,455.86572888,,Town and Country,Spokane County
,,Unknown,1991-01-01,407.72478998,,Cheney,Spokane County
,,Unknown,1991-01-01,235.1546015,,Cheney,Spokane County
,,Unknown,1973-01-01,499.72147763,,Spokane,Spokane County
,,Unknown,1991-01-01,100.46829955,,Mead,Spokane County
,,Unknown,1991-01-01,26.39785695,,Mead,Spokane County
WASES,Washington DNR,Cleveland Fire,1998-07-27,18500.4198546,Lightning,Goldendale,Klickitat County
WASES,Washington DNR,Major Creek Fire,1999-07-01,730.60636439,,White Salmon,Klickitat County
WASES,Washington DNR,Easton Fire,1999-09-11,75.93893678,,Cle Elum,Kittitas County
WASES,Washington DNR,Middle Fork Fire,,2.24146975,,White Salmon,Klickitat County
WASES,Washington DNR,Whites Basin Fire,,122.67796985,,Tieton,Yakima County
WAOWF,Okan-Wen NF,Bailey Fire,2001-08-13,3211.96752586,,Republic,Ferry County
WASES,Washington DNR,Dry Creek Fire,,17.14686711,,Tieton,Yakima County
WANES,Washington DNR,Gambles Mill Fire (Brewster,2001-08-12,5516.09471316,,Brewster,Okanogan County
WASES,Washington DNR,Highland Flats Fire,,128.72576872,,Chelan,Chelan County
WANES,Washington DNR,Indian Dan Fire (Brewster Complex),2001-08-12,584.61615971,Unknown,Brewster,Okanogan County
WAOWF,Okan-Wen NF,Libby South Fire,2001-07-09,3789.27300628,,Granite Falls,Chelan County
WAOWF,Okan-Wen NF,Rex Creek Fire,2001-08-12,44581.483028,,Granite Falls,Chelan County
WAGPF,Gifford Pinchot NF,Salt Creek Fire (Salt Creek Complex),2001-09-15,312.56507907,,White Salmon,Klickitat County
WANES,Washington DNR,Pingston,2007-07-28,126.19826414,,Kettle Falls,Stevens County
WACOA,Colville Agency,Abraham Canyon,2008-07-10,372.33180886,,Kettle Falls,Stevens County
WAWFS,Washington Fire Ser,Badger Mountain Fire (Badger Mtn Complex),2008-07-10,13265.6373849,,Sunnyslope,Chelan County
WASES,Washington DNR,Spruce Dome Complex,2001-08-16,2722.11065268,,Tieton,Yakima County
WACOA,Colville Agency,St. Mary's Fire (Virginia Lake Complex),2001-08-12,32978.7297989,,Omak,Okanogan County
WAOWF,Okan-Wen NF,Tommy Creek Fire,2001-09-16,647.1737304,,Granite Falls,Chelan County
WASES,Washington DNR,Touchet Road,,258.25442315,,Dayton,Columbia County
WASES,Washington DNR,Union Valley Fire,2001-07-27,4523.30801334,,Chelan,Chelan County
,,Deer Mountain Fire,2002-08-16,2280.88453577,,Chelan,Chelan County
WAOWF,Okan-Wen NF,Deer Point Fire,2002-07-15,20993.930371,,Granite Falls,Chelan County
,,Ewe Neck Fire,,75.95030196,,Tieton,Yakima County
WANES,Washington DNR,Black Canyon Fire,2003-08-10,2281.36471161,,Colville,Stevens County
WANES,Washington DNR,Bulldog Fire,2003-09-05,411.58409343,,Chewelah,Stevens County
