UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
WANES,WA DNR - NE REGION,RED LAKE,1997-01-01,1150.8925627,UNKNOWN,Airway Heights,Spokane County
WANES,WA DNR - NE REGION,BUCKEYE,1987-01-01,227.33273899,UNKNOWN,Mead,Spokane County
WANES,WA DNR - NE REGION,STONY PEAK,1985-01-01,289.5896455,UNKNOWN,Deer Park,Spokane County
WANES,WA DNR - NE REGION,LIBERTY LAKE,1985-01-01,855.37991371,UNKNOWN,Liberty Lake,Spokane County
WANES,WA DNR - NE REGION,RAIL CANYON,1994-08-01,102.0968386,UNKNOWN,Deer Park,Spokane County
WANES,WA DNR - NE REGION,CORK SCREW,1994-08-01,185.87267875,UNKNOWN,Fairchild Air Force Base,Spokane County
WANES,WA DNR - NE REGION,OWENS RD,1994-08-01,127.00405485,UNKNOWN,Deer Park,Spokane County
WANES,WA DNR - NE REGION,NEWKIRK - OLD TRAIL RD,1997-01-01,772.41805753,UNKNOWN,Town and Country,Spokane County
WANES,WA DNR - NE REGION,RIVERSIDE,1994-08-01,455.86572383,UNKNOWN,Town and Country,Spokane County
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,407.72478287,UNKNOWN,Cheney,Spokane County
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,235.15460223,UNKNOWN,Cheney,Spokane County
WANES,WA DNR - NE REGION,UNKNOWN,1973-01-01,499.72147776,UNKNOWN,Cheney,Spokane County
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,100.46829673,UNKNOWN,Cheney,Spokane County
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,26.39785582,UNKNOWN,Cheney,Spokane County
WASES,WA DNR - SE REGION,CLEVELAND FIRE,1998-07-27,18500.419857900004,LIGHTNING,Goldendale,Klickitat County
WASES,WA DNR - SE REGION,MAJOR CREEK FIRE,1999-07-01,730.60635447,UNKNOWN,White Salmon,Klickitat County
WASES,WA DNR - SE REGION,EASTON FIRE,1999-09-11,75.93894012,UNKNOWN,Cle Elum,Kittitas County
WASES,WA DNR - SE REGION,MIDDLE FORK FIRE,2000-08-29,2.24146902,UNKNOWN,White Salmon,Klickitat County
WASES,WA DNR - SE REGION,WHITES BASIN FIRE,2000-07-17,122.67797005,UNKNOWN,Tieton,Yakima County
WAOWF,OKAN-WEN NF,BAILEY FIRE,2001-08-13,3211.96752531,UNKNOWN,Republic,Ferry County
WASES,WA DNR - SE REGION,DRY CREEK FIRE,2001-08-01,17.14686611,UNKNOWN,Tieton,Yakima County
WANES,WA DNR - NE REGION,GAMBLES MILL FIRE (BREWSTER,2001-08-12,5516.094728,UNKNOWN,Brewster,Okanogan County
WASES,WA DNR - SE REGION,HIGHLAND FLATS FIRE,2001-08-01,128.72576743,UNKNOWN,Chelan,Chelan County
WANES,WA DNR - NE REGION,INDIAN DAN FIRE (BREWSTER COMPLEX),2001-08-12,584.61616996,UNKNOWN,Brewster,Okanogan County
WAOWF,OKAN-WEN NF,LIBBY SOUTH FIRE,2001-07-09,3789.27302155,UNKNOWN,Granite Falls,Chelan County
WAOWF,OKAN-WEN NF,REX CREEK FIRE,2001-08-12,44581.48303191,UNKNOWN,Granite Falls,Chelan County
WAGPF,GIFFORD PINCHOT NF,SALT CREEK FIRE (SALT CREEK COMPLEX),2001-09-15,312.56508176,UNKNOWN,White Salmon,Klickitat County
WANES,WA DNR - NE REGION,PINGSTON,2007-07-28,126.1982665,UNKNOWN,Kettle Falls,Stevens County
WACOA,COLVILLE AGENCY,ABRAHAM CANYON,2008-07-10,372.33179875,UNKNOWN,Kettle Falls,Stevens County
WASES,WA DNR - SE REGION,SPRUCE DOME COMPLEX,2001-08-16,2722.11064738,UNKNOWN,Tieton,Yakima County
WACOA,COLVILLE AGENCY,ST. MARY'S FIRE (VIRGINIA LAKE COMPLEX),2001-08-12,32978.7297895,UNKNOWN,Omak,Okanogan County
WAOWF,OKAN-WEN NF,TOMMY CREEK FIRE,2001-09-16,647.1737262,UNKNOWN,Granite Falls,Chelan County
WASES,WA DNR - SE REGION,TOUCHET ROAD,2001-08-01,258.25443063,UNKNOWN,Dayton,Columbia County
WASES,WA DNR - SE REGION,UNION VALLEY FIRE,2001-07-27,4523.3080209,UNKNOWN,Chelan,Chelan County
WASPD,SPOKANE BLM,DEER MOUNTAIN FIRE,2002-08-16,2280.88454823,UNKNOWN,Chelan,Chelan County
WAOWF,OKAN-WEN NF,DEER POINT FIRE,2002-07-15,20993.93033698,UNKNOWN,Granite Falls,Chelan County
WASES ,WA DNR - SE REGION,EWE NECK FIRE,2002-08-01,75.9503038,UNKNOWN,Tieton,Yakima County
WANES,WA DNR - NE REGION,BLACK CANYON FIRE,2003-08-10,2281.36471544,UNKNOWN,Colville,Stevens County
WANES,WA DNR - NE REGION,BULLDOG FIRE,2003-09-05,411.58409583,UNKNOWN,Chewelah,Stevens County
WAOWF,OKAN-WEN NF,FAREWELL FIRE (FAWN PEAK COMPLEX),2003-06-30,81233.40724807,UNKNOWN,Okanogan,Okanogan County
WAOWF,OKAN-WEN NF,FAWN PEAK FIRE (FAWN PEAK COMPLEX),2003-06-30,74.02080802,UNKNOWN,Granite Falls,Chelan County
WAMSF,MT. BAKER-SNOQ NF,GOLD HILL FIRE (NORTH ZONE COMPLEX),2003-08-07,169.78598676,UNKNOWN,Darrington,Snohomish County
WAOWF,OKAN-WEN NF,MAPLE,2003-09-06,1626.25142006,UNKNOWN,Leavenworth,Chelan County
WACOA,COLVILLE AGENCY,MCGINNIS FLAT,2003-07-18,2255.85284801,UNKNOWN,Coulee Dam,Okanogan County
WAOWF,OKAN-WEN NF,NEEDLES FIRE,2003-09-03,19328.21003774,UNKNOWN,Granite Falls,Chelan County
WAMRP,MOUNT RAINIER NP,PANTHER FIRE (MOUNT RAINIER COMPLEX),2003-08-21,43.95596095,UNKNOWN,Buckley,Pierce County
WACOA,COLVILLE AGENCY,RATTLESNAKE CANYON FIRE,2003-07-05,10486.7618965,UNKNOWN,Davenport,Lincoln County
WAMRP,MOUNT RAINIER NP,REDSTONE FIRE (MOUNT RAINIER COMPLEX),2003-08-21,46.97740324,UNKNOWN,Enumclaw,King County
WAOWF,OKAN-WEN NF,SQUARE LAKE FIRE,2003-08-26,903.30043368,UNKNOWN,Leavenworth,Chelan County
WASPD,SPOKANE BLM,BEEBE,2004-07-04,4205.59362447,UNKNOWN,Chelan,Chelan County
WANES,WA DNR - NE REGION,BOTTLE TWO,2004-06-21,33.38955045,LIGHTNING,Tonasket,Okanogan County
WAOWF,OKAN-WEN NF,DEEP HARBOR FIRE (POT PEAK / SISI RIDGE COMPLEX),2004-06-19,29995.51187816,UNKNOWN,Granite Falls,Chelan County
WAOWF,OKAN-WEN NF,DIRTY FACE PEAK,2004-08-16,295.32827038,UNKNOWN,Leavenworth,Chelan County
WACOA,COLVILLE AGENCY,ELMER CITY,2004-07-29,1928.78592682,HUMAN,Coulee Dam,Okanogan County
WAOWF,OKAN-WEN NF,FISCHER,2004-08-08,16425.33218253,EQUIPMENT USE,Cashmere,Chelan County
WAOWF,OKAN-WEN NF,FREEZEOUT FIRE (WILLIAMS BUTTE COMPLEX),2004-06-24,708.04545155,LIGHTNING,Hope,
WANES,WA DNR - NE REGION,BLUEHOO FIRE (HIGHLANDS COMPLEX),2004-08-19,10.26878534,UNKNOWN,Oroville,Okanogan County
WACOA,COLVILLE AGENCY,HOPKINS CANYON FIRE (HOPKINS CANYON COMPLEX),2004-06-26,5071.7412695,UNKNOWN,Coulee Dam,Okanogan County
